School Name,City,State,Postcode,Type,Sector,Status,ACARA ID,DEEWR ID
A B Paterson College,ARUNDEL,QLD,4214,Primary/Secondary,Non-Government,Open,48096,13495
Abbotsford Primary School,ABBOTSFORD,VIC,3067,Primary,Government,Open,44370,8050
Abbotsford Public School,ABBOTSFORD,NSW,2046,Primary,Government,Open,40987,4402
Abbotsleigh,WAHROONGA,NSW,2076,Primary/Secondary,Non-Government,Open,43762,1302
Abercorn State School,ABERCORN,QLD,4627,Primary,Government,Open,46801,12692
Aberdeen Public School,ABERDEEN,NSW,2336,Primary,Government,Open,41852,9333
Aberfeldie Primary School,ESSENDON,VIC,3040,Primary,Government,Open,44727,4744
Aberfoyle Hub R-7 School,ABERFOYLE PARK,SA,5159,Primary,Government,Open,49360,22782
Aberfoyle Park High School,ABERFOYLE PARK,SA,5159,Secondary,Government,Open,49663,17389
Abergowrie State School,ABERGOWRIE,QLD,4850,Primary,Government,Open,47089,13072
Abermain Public School,ABERMAIN,NSW,2326,Primary,Government,Open,41853,9299
Aboriginal and Islander Independent Community School,ACACIA RIDGE,QLD,4110,Primary/Secondary,Non-Government,Open,48059,5894
Acacia College,MERNDA,VIC,3754,Primary/Secondary,Non-Government,Open,46394,28868
Acacia Hill School,ALICE SPRINGS,NT,871,Primary/Secondary,Government,Open,50072,16524
Acacia Ridge State School,ACACIA RIDGE,QLD,4110,Primary,Government,Open,46412,11264
Academy of Mary Immaculate,FITZROY,VIC,3065,Secondary,Non-Government,Open,45704,739
Adam Road Primary School,SOUTH BUNBURY,WA,6230,Primary,Government,Open,48264,12443
Adaminaby Public School,ADAMINABY,NSW,2629,Primary,Government,Open,42715,10425
Adamstown Public School,ADAMSTOWN,NSW,2289,Primary,Government,Open,41854,9043
Adass Israel School,ELSTERNWICK,VIC,3185,Primary/Secondary,Non-Government,Open,46213,740
Adelaide East Education Centre,KENSINGTON,SA,5068,Secondary,Government,Open,49559,16481
Adelaide High School,ADELAIDE,SA,5000,Secondary,Government,Open,49453,6053
Adelaide North Special School,ELIZABETH,SA,5112,Primary/Secondary,Government,Open,49340,14717
Adelaide River School,ADELAIDE RIVER,NT,846,Primary/Secondary,Government,Open,50073,7937
Adelaide Secondary School of English,WEST CROYDON,SA,5008,Secondary,Government,Open,49664,16470
Adelaide West Special Education Centre,TAPEROO,SA,5017,Primary/Secondary,Government,Open,49643,16496
Adelong Public School,ADELONG,NSW,2729,Primary,Government,Open,42530,10667
Adventist Primary School - Toronto,TORONTO,NSW,2283,Primary,Non-Government,Open,43942,3323
Aetaomah School,TERRAGON,NSW,2484,Primary/Secondary,Non-Government,Open,43780,15898
Afterlee Public School,AFTERLEE,NSW,2474,Primary,Government,Open,42326,9750
Agnes Water State School,AGNES WATER,QLD,4677,Primary,Government,Open,47391,14448
Aim Senior Secondary Music College,SURRY HILLS,NSW,2010,Secondary,Non-Government,Open,40639,15400
Ainslie Parklands Primary School,CROYDON,VIC,3136,Primary,Government,Open,44886,8451
Ainslie School,BRADDON,ACT,2612,Primary,Government,Open,49910,4753
Airdale Primary School,PORT PIRIE,SA,5540,Primary,Government,Open,49549,7431
Airds High School,CAMPBELLTOWN,NSW,2560,Secondary,Government,Open,41594,6504
Airly Primary School,AIRLY,VIC,3851,Primary,Government,Open,44716,12022
Airville State School,AYR,QLD,4807,Primary,Government,Open,46805,12995
Aitken College,GREENVALE,VIC,3059,Primary/Secondary,Non-Government,Open,46353,16324
Aitken Creek Primary School,CRAIGIEBURN,VIC,3064,Primary,Government,Open,50266,28550
Aitkenvale State School,AITKENVALE,QLD,4814,Primary,Government,Open,46899,13020
Ajuga School,GLENFIELD,NSW,2167,Primary/Secondary,Government,Open,41548,16152
Al Amanah College,BANKSTOWN,NSW,2200,Primary/Secondary,Non-Government,Open,43852,15684
Al Faisal College,AUBURN,NSW,2144,Primary/Secondary,Non-Government,Open,43952,15403
Al Noori Muslim School,GREENACRE,NSW,2190,Primary/Secondary,Non-Government,Open,43958,13329
Al Sadiq College Inc,YAGOONA,NSW,2199,Primary/Secondary,Non-Government,Open,40720,18093
Al Siraat College,EPPING,VIC,3076,Primary/Secondary,Non-Government,Open,46390,28556
Al Zahra College,ARNCLIFFE,NSW,2205,Primary/Secondary,Non-Government,Open,43946,14651
Alawa Primary School,ALAWA,NT,810,Primary,Government,Open,50010,7967
Albanvale Primary School,ALBANVALE,VIC,3021,Primary,Government,Open,45065,7558
Albany Campus,ALBANY,WA,6330,Primary/Secondary,Non-Government,Open,49130,77532
Albany Creek State High School,ALBANY CREEK,QLD,4035,Secondary,Government,Open,47534,11169
Albany Creek State School,ALBANY CREEK,QLD,4035,Primary,Government,Open,46546,11170
Albany Hills State School,ALBANY CREEK,QLD,4035,Primary,Government,Open,47310,11171
Albany Primary School,ALBANY,WA,6330,Primary,Government,Open,48265,12534
Albany Rise Primary School,MULGRAVE,VIC,3170,Primary,Government,Open,45217,9086
Albany Secondary Education Support Centre,ALBANY,WA,6330,Secondary,Government,Open,48851,17391
Albany Senior High School,ALBANY,WA,6330,Secondary,Government,Open,48116,12535
Albert Park Flexible Learning Centre,BRISBANE,QLD,4000,Secondary,Non-Government,Open,40769,25123
Albert Park Primary School,ALBERT PARK,VIC,3206,Primary,Government,Open,44224,16670
Albert Park Public School,EAST LISMORE,NSW,2480,Primary,Government,Open,42339,9776
Albert State School,MARYBOROUGH,QLD,4650,Primary,Government,Open,46424,12699
Alberton Primary School,ALBERTON,VIC,3971,Primary,Government,Open,44030,12213
Alberton Primary School,QUEENSTOWN,SA,5014,Primary,Government,Open,49198,6905
Albion North Primary School,SUNSHINE NORTH,VIC,3020,Primary,Government,Open,44875,7548
Albion Park High School,ALBION PARK,NSW,2527,Secondary,Government,Open,42936,14950
Albion Park Public School,ALBION PARK,NSW,2527,Primary,Government,Open,42716,10020
Albion Park Rail Public School,ALBION PARK,NSW,2527,Primary,Government,Open,42861,10021
Albion Primary School,ALBION,VIC,3020,Primary,Government,Open,44732,7549
Albuera Street Primary School,HOBART,TAS,7000,Primary,Government,Open,40100,8051
Albuera Street Primary School,HOBART,TAS,7000,Primary,Government,Open,40100,8051
Albuera Street Primary School,HOBART,TAS,7000,Primary,Government,Open,40100,8051
Albuera Street Primary School,HOBART,TAS,7000,Primary,Government,Open,40100,8051
Albury High School,ALBURY,NSW,2640,Secondary,Government,Open,42689,10438
Albury North Public School,ALBURY,NSW,2640,Primary,Government,Open,42654,10440
Albury Public School,ALBURY,NSW,2640,Primary,Government,Open,42531,10441
Albury West Public School,ALBURY,NSW,2640,Primary,Government,Open,42532,10442
Albury Wodonga Community College,WODONGA,VIC,3690,Secondary,Non-Government,Open,43720,25136
Alcoota School,AHERRENGE,NT,872,Primary/Secondary,Government,Open,50074,16525
Aldavilla Public School,YARRAVEL,NSW,2440,Primary,Government,Open,42356,16175
Aldercourt Primary School,FRANKSTON NORTH,VIC,3200,Primary,Government,Open,44987,9446
Aldgate Primary School,ALDGATE,SA,5154,Primary,Government,Open,49204,7178
Aldinga Beach B-7 School,ALDINGA,SA,5173,Primary,Government,Open,49212,7131
Aldridge State High School,MARYBOROUGH,QLD,4650,Secondary,Government,Open,47419,6589
Alekarenge School,AHERRENGE,NT,872,Primary/Secondary,Government,Open,50054,7898
ALESCO Learning Centre - Illawarra,WOLLONGONG,NSW,2500,Primary/Secondary,Non-Government,Open,50379,29085
ALESCO Senior College,COOKS HILL,NSW,2300,Primary/Secondary,Non-Government,Open,40724,18110
Alexandra Bay State School,CAPE TRIBULATION,QLD,4873,Primary,Government,Open,47373,14473
Alexandra Hills State High School,ALEXANDRA HILLS,QLD,4161,Secondary,Government,Open,47553,15033
Alexandra Hills State School,ALEXANDRA HILLS,QLD,4161,Primary,Government,Open,46686,11346
Alexandra Primary School,ALEXANDRA,VIC,3714,Primary,Government,Open,44166,11685
Alexandra Secondary College,ALEXANDRA,VIC,3714,Secondary,Government,Open,45349,11684
Alexandria Park Community School,ALEXANDRIA,NSW,2015,Primary/Secondary,Government,Open,41184,6425
Alfords Point Public School,ALFORDS POINT,NSW,2234,Primary,Government,Open,41115,16155
Alfred Deakin High School,DEAKIN,ACT,2600,Secondary,Government,Open,49911,10303
Alfredton Primary School,ALFREDTON,VIC,3350,Primary,Government,Open,44196,10116
Algester State School,ALGESTER,QLD,4115,Primary,Government,Open,47289,11276
Al-Hidayah Islamic School,BENTLEY,WA,6102,Primary,Non-Government,Open,49106,14323
Alia College,HAWTHORN EAST,VIC,3123,Secondary,Non-Government,Open,46354,16610
Alice Springs School Of The Air,ALICE SPRINGS,NT,870,Primary/Secondary,Government,Open,50008,7879
Alinjarra Primary School,ALEXANDER HEIGHTS,WA,6064,Primary,Government,Open,48691,14933
Alkimos Baptist College,MERRIWA,WA,6030,Primary/Secondary,Non-Government,Open,50319,29059
Alkira Secondary College,CRANBOURNE NORTH,VIC,3977,Secondary,Government,Open,45604,28854
All Hallows Catholic Primary School,FIVE DOCK,NSW,2046,Primary,Non-Government,Open,43404,1306
All Hallows School,GULGONG,NSW,2852,Primary,Non-Government,Open,43567,1305
All Hallows' School,BRISBANE,QLD,4000,Primary/Secondary,Non-Government,Open,47882,17217
All Saints Anglican School,MERRIMAC,QLD,4226,Primary/Secondary,Non-Government,Open,48002,5512
All Saints Catholic Boys College,LIVERPOOL,NSW,2170,Secondary,Non-Government,Open,43490,1522
All Saints Catholic Girls College,LIVERPOOL,NSW,2170,Secondary,Non-Government,Open,43491,1831
All Saints Catholic Primary School,LIVERPOOL,NSW,2170,Primary,Non-Government,Open,43422,1839
All Saints Catholic Primary School,SEAFORD,SA,5169,Primary,Non-Government,Open,49784,14129
All Saints Catholic Senior College,CASULA,NSW,2170,Secondary,Non-Government,Open,40451,6733
All Saints College,MAITLAND,NSW,2320,Secondary,Non-Government,Open,40618,13863
All Saints College,BATHURST,NSW,2795,Primary/Secondary,Non-Government,Open,43886,1307
All Saints' College,BULL CREEK,WA,6149,Primary/Secondary,Non-Government,Open,49049,2755
All Saints College - St Joseph's Campus,LOCHINVAR,NSW,2321,Secondary,Non-Government,Open,43317,77182
All Saints Greek Orthodox Grammar School,BELMORE,NSW,2192,Primary/Secondary,Non-Government,Open,43959,13416
All Saints Parish School,PORTLAND SOUTH,VIC,3305,Primary,Non-Government,Open,45736,17978
All Saints Primary School,TUMBARUMBA,NSW,2653,Primary,Non-Government,Open,43616,1309
All Saints Primary School,ALBANY CREEK,QLD,4035,Primary,Non-Government,Open,47925,5610
All Saints' School,BOONAH,QLD,4310,Primary,Non-Government,Open,47743,409
All Souls St Gabriels School,CHARTERS TOWERS,QLD,4820,Primary/Secondary,Non-Government,Open,48001,16723
Allambie Heights Public School,ALLAMBIE HEIGHTS,NSW,2100,Primary,Government,Open,41281,7706
Allansford and District Primary School,ALLANSFORD,VIC,3277,Primary,Government,Open,44031,9862
Allanson Primary School,ALLANSON,WA,6225,Primary,Government,Open,48266,12436
Allenby Gardens Primary School,ALLENBY GARDENS,SA,5009,Primary,Government,Open,49337,6894
Allendale East Area School,ALLENDALE EAST,SA,5291,Primary/Secondary,Government,Open,49436,7315
Allendale Primary School,GERALDTON,WA,6530,Primary,Government,Open,48267,12651
Allenstown State School,ROCKHAMPTON,QLD,4700,Primary,Government,Open,46516,12833
Alligator Creek State School,ALLIGATOR CREEK,QLD,4740,Primary,Government,Open,46886,12930
Allora P-10 State School,ALLORA,QLD,4362,Primary/Secondary,Government,Open,46396,11964
Alloway State School,BUNDABERG,QLD,4670,Primary,Government,Open,46698,12759
Alma Public School,BROKEN HILL,NSW,2880,Primary,Government,Open,42940,11109
Aloomba State School,ALOOMBA,QLD,4871,Primary,Government,Open,46923,13117
Alpha State School,ALPHA,QLD,4724,Primary/Secondary,Government,Open,46757,12915
Alphington Grammar School,ALPHINGTON,VIC,3078,Primary/Secondary,Non-Government,Open,46316,13338
Alphington Primary School,ALPHINGTON,VIC,3078,Primary,Government,Open,44625,8100
Alpurrurulam School,ALPURRURULAM,NT,4825,Primary/Secondary,Government,Open,50075,16527
Alstonville High School,ALSTONVILLE,NSW,2477,Secondary,Government,Open,42405,14740
Alstonville Public School,ALSTONVILLE,NSW,2477,Primary,Government,Open,42138,9761
Alta-1,LANDSDALE,WA,6065,Primary/Secondary,Non-Government,Open,40784,26753
Al-Taqwa College,TRUGANINA,VIC,3029,Primary/Secondary,Non-Government,Open,46309,5556
Altona Green Primary School,ALTONA MEADOWS,VIC,3028,Primary,Government,Open,45141,15020
Altona Meadows Primary School,ALTONA MEADOWS,VIC,3028,Primary,Government,Open,45061,7647
Altona North Primary School,ALTONA NORTH,VIC,3025,Primary,Government,Open,44919,7582
Altona P-9 College,ALTONA,VIC,3018,Primary/Secondary,Government,Open,45587,7543
Altona Primary School,ALTONA,VIC,3018,Primary,Government,Open,44671,5156
Alvie Consolidated School,ALVIE,VIC,3249,Primary,Government,Open,45291,9689
Alyangula Area School,ALYANGULA,NT,885,Primary/Secondary,Government,Open,50051,7992
Alyarrmandumanja Umbakumba School,ACACIA HILLS,NT,822,Primary/Secondary,Government,Open,50124,7965
Amamoor State School,AMAMOOR,QLD,4570,Primary,Government,Open,47237,12351
Amanbidji School,AHERRENGE,NT,872,Primary,Government,Open,50138,7922
Amaroo Primary School,COLLIE,WA,6225,Primary,Government,Open,48268,12437
Amaroo School,AMAROO,ACT,2914,Primary/Secondary,Government,Open,49882,17809
Amata Anangu School,AMATA,SA,872,Primary/Secondary,Government,Open,49561,7515
Ambarvale High School,ROSEMEADOW,NSW,2560,Secondary,Government,Open,41607,14941
Ambarvale Public School,AMBARVALE,NSW,2560,Primary,Government,Open,41498,10196
Amberley District State School,YAMANTO,QLD,4305,Primary,Government,Open,46485,11676
Ambrose State School,AMBROSE,QLD,4695,Primary,Government,Open,47134,12827
Amiens State School,AMIENS,QLD,4380,Primary,Government,Open,47206,5142
Amity College,PRESTONS,NSW,2170,Primary/Secondary,Non-Government,Open,44001,15309
Amity College Auburn Campus,AUBURN,NSW,2144,Primary/Secondary,Non-Government,Open,44006,77373
Amity College Illawarra Campus,AUBURN,NSW,2144,Primary/Secondary,Non-Government,Open,43925,77332
Amoonguna School,AHERRENGE,NT,872,Primary,Government,Open,50076,7880
Amphitheatre Primary School,AMPHITHEATRE,VIC,3468,Primary,Government,Open,44330,10878
Ampilatwatja School,AHERRENGE,NT,872,Primary/Secondary,Government,Open,50077,7903
Amsleigh Park Primary School,OAKLEIGH EAST,VIC,3166,Primary,Government,Open,45218,16364
Anakie Primary School,ANAKIE,VIC,3213,Primary,Government,Open,44376,9584
Anakie State School,ANAKIE,QLD,4702,Primary,Government,Open,46730,12857
Ananda Marga River School,MALENY,QLD,4552,Primary,Non-Government,Open,47939,13751
Andale School,KEW,VIC,3101,Primary/Secondary,Non-Government,Open,40392,3054
Andamooka Primary School,ANDAMOOKA,SA,5722,Primary,Government,Open,49353,16469
Andergrove State School,ANDERGROVE MACKAY,QLD,4740,Primary,Government,Open,47189,12931
Andersons Creek Primary School,WARRANDYTE,VIC,3113,Primary,Government,Open,45019,8262
Andrews Creek Primary School,WESLEY VALE,TAS,7307,Primary,Government,Open,50565,29970
Angaston Primary School,ANGASTON,SA,5353,Primary,Government,Open,49224,7356
Angle Vale Primary School,ANGLE VALE,SA,5117,Primary,Government,Open,49232,7158
Anglesea Primary School,ANGLESEA,VIC,3230,Primary,Government,Open,44744,9603
Anglican Church Grammar School,EAST BRISBANE,QLD,4169,Primary/Secondary,Non-Government,Open,47996,430
Anglican Technical College - Western Sydney,GLENWOOD,NSW,2768,Secondary,Non-Government,Open,40825,28172
Angurugu School,ACACIA HILLS,NT,822,Primary/Secondary,Government,Open,50055,7949
Anna Bay Public School,ANNA BAY,NSW,2316,Primary,Government,Open,41855,9126
Annandale Christian College,ANNANDALE,QLD,4814,Primary/Secondary,Non-Government,Open,48048,4007
Annandale North Public School,ANNANDALE,NSW,2038,Primary,Government,Open,40989,4930
Annandale Public School,ANNANDALE,NSW,2038,Primary,Government,Open,40988,5497
Annandale State School,ANNANDALE,QLD,4814,Primary,Government,Open,46702,16446
Annangrove Public School,ANNANGROVE,NSW,2156,Primary,Government,Open,41247,7863
Annesley College,WAYVILLE,SA,5034,Primary,Non-Government,Open,49808,280
Annunciation School,BROOKLYN,VIC,3012,Primary,Non-Government,Open,45973,1278
Anson Street School,ORANGE,NSW,2800,Primary/Secondary,Government,Open,43093,16157
Antonine College - Pascoe Vale Campus,PASCOE VALE SOUTH,VIC,3044,Primary/Secondary,Non-Government,Open,46112,22824
Antonio Catholic School,MORPHETT VALE,SA,5162,Primary,Non-Government,Open,49781,2602
Antonio Park Primary School,MITCHAM,VIC,3132,Primary,Government,Open,44866,5444
Anula Primary School,ANULA,NT,812,Primary,Government,Open,50011,7981
Anzac Terrace Primary School,BASSENDEAN,WA,6054,Primary,Government,Open,48561,9023
Apollo Bay P-12 College,APOLLO BAY,VIC,3233,Primary/Secondary,Government,Open,45292,9607
Apollo Parkways Primary School,GREENSBOROUGH,VIC,3088,Primary,Government,Open,45068,8219
Appin Park Primary School,WANGARATTA,VIC,3677,Primary,Government,Open,45085,11569
Appin Public School,APPIN,NSW,2560,Primary,Government,Open,41354,10197
Applecross Primary School,APPLECROSS,WA,6153,Primary,Government,Open,48270,12335
Applecross Senior High School,ARDROSS,WA,6153,Secondary,Government,Open,48117,12336
Applethorpe State School,APPLETHORPE,QLD,4378,Primary,Government,Open,47095,4779
Apsley Primary School,APSLEY,VIC,3319,Primary,Government,Open,44230,10019
Aquinas Catholic College,MENAI,NSW,2234,Secondary,Non-Government,Open,43492,13864
Aquinas College,RINGWOOD,VIC,3134,Secondary,Non-Government,Open,45947,747
Aquinas College,ASHMORE,QLD,4214,Secondary,Non-Government,Open,47860,411
Aquinas College,MANNING,WA,6152,Primary/Secondary,Non-Government,Open,48916,15657
Araluen Christian College,ALICE SPRINGS,NT,870,Primary/Secondary,Non-Government,Open,40343,15336
Araluen Primary School,SALE,VIC,3850,Primary,Government,Open,44974,12024
Aramac State School,ARAMAC,QLD,4726,Primary/Secondary,Government,Open,46627,12916
Aranda Primary School,ARANDA,ACT,2614,Primary,Government,Open,49883,10376
Aranmore Catholic College,LEEDERVILLE,WA,6007,Primary/Secondary,Non-Government,Open,48911,12856
Aranmore Catholic Primary School,LEEDERVILLE,WA,6007,Primary,Non-Government,Open,48965,8785
Ararat North Primary School,ARARAT,VIC,3377,Primary,Government,Open,44958,10589
Ararat Primary School,ARARAT,VIC,3377,Primary,Government,Open,44142,10590
Ararat Secondary College,ARARAT,VIC,3377,Secondary,Government,Open,45523,10588
Ararat West Primary School,ARARAT,VIC,3377,Primary,Government,Open,44809,10591
Aratula State School,ARATULA,QLD,4309,Primary,Government,Open,47086,11764
Arawang Primary School,WARAMANGA,ACT,2611,Primary,Government,Open,49934,14386
Arbor Grove Primary School,ELLENBROOK,WA,6069,Primary,Government,Open,48768,17850
Arcadia Public School,ARCADIA,NSW,2159,Primary,Government,Open,41194,17392
Arcadia Vale Public School,ARCADIA VALE,NSW,2283,Primary,Government,Open,42019,8963
Arcadia Valley State School,ARCADIA VALLEY,QLD,4454,Primary,Government,Open,46905,12205
Ardeer Primary School,ARDEER,VIC,3022,Primary,Government,Open,44869,7577
Ardeer South Primary School,SUNSHINE WEST,VIC,3020,Primary,Government,Open,44998,4742
Arden Anglican School,EPPING,NSW,2121,Primary/Secondary,Non-Government,Open,43976,1311
Ardlethan Central School,ARDLETHAN,NSW,2665,Primary/Secondary,Government,Open,42533,10519
Ardmona Primary School,ARDMONA,VIC,3629,Primary,Government,Open,44311,15915
Ardross Primary School,ARDROSS,WA,6153,Primary,Government,Open,48271,12338
Ardrossan Area School,ARDROSSAN,SA,5571,Primary/Secondary,Government,Open,49419,16013
Ardtornish Primary School,ST AGNES,SA,5097,Primary,Government,Open,49658,7080
Arethusa College,DECEPTION BAY,QLD,4508,Primary/Secondary,Non-Government,Open,48115,28541
Areyonga School,AHERRENGE,NT,872,Primary/Secondary,Government,Open,50078,7881
Argenton Public School,ARGENTON,NSW,2284,Primary,Government,Open,42001,8985
Ariah Park Central School,ARIAH PARK,NSW,2665,Primary/Secondary,Government,Open,42534,10520
Arkana College,KINGSGROVE,NSW,2208,Primary,Non-Government,Open,43943,2362
Arlparra School,AHERRENGE,NT,872,Primary/Secondary,Government,Open,40836,28613
Armadale Education Support Centre,ARMADALE,WA,6112,Secondary,Government,Open,48818,6861
Armadale Primary School,ARMADALE,VIC,3143,Primary,Government,Open,44490,8511
Armadale Primary School,ARMADALE,WA,6112,Primary,Government,Open,48272,10108
Armadale Senior High School,ARMADALE,WA,6112,Secondary,Government,Open,48118,6659
Armenian General Benevolent Union Alexander Primary School,DUFFYS FOREST,NSW,2084,Primary,Non-Government,Open,44003,13399
Armidale City Public School,ARMIDALE,NSW,2350,Primary,Government,Open,42410,9372
Armidale High School,ARMIDALE,NSW,2350,Secondary,Government,Open,42514,9373
Arncliffe Public School,ARNCLIFFE,NSW,2205,Primary,Government,Open,41129,8585
Arncliffe West Infants School,ARNCLIFFE,NSW,2205,Primary,Government,Open,40524,8586
Arndell College,OAKVILLE,NSW,2765,Primary/Secondary,Non-Government,Open,43960,16719
Arndell School,NORTH RYDE,NSW,2113,Primary/Secondary,Government,Open,40647,16158
Arranounbai School,FRENCHS FOREST,NSW,2086,Primary/Secondary,Government,Open,41313,16156
Artarmon Public School,ARTARMON,NSW,2064,Primary,Government,Open,41195,7612
Arthur Phillip High School,PARRAMATTA,NSW,2150,Secondary,Government,Open,41848,6461
Arthurs Creek Primary School,ARTHURS CREEK,VIC,3099,Primary,Government,Open,44336,8236
Arundel State School,ARUNDEL,QLD,4214,Primary,Government,Open,47404,17393
Ascham School Ltd,EDGECLIFF,NSW,2027,Primary/Secondary,Non-Government,Open,43953,1312
Ascot Park Primary School,PARK HOLME,SA,5043,Primary,Government,Open,49273,6960
Ascot State School,ASCOT,QLD,4007,Primary,Government,Open,46615,11131
Ascot Vale Primary School,ASCOT VALE,VIC,3032,Primary,Government,Open,44486,6016
Ascot Vale Special School,ASCOT VALE,VIC,3032,Special,Government,Open,45022,6319
Ascot Vale West Primary School,ASCOT VALE,VIC,3032,Primary,Government,Open,44696,7662
Ashburton Drive Primary School,GOSNELLS,WA,6110,Primary,Government,Open,48675,6038
Ashburton Primary School,ASHBURTON,VIC,3147,Primary,Government,Open,44741,5879
Ashbury Public School,ASHBURY,NSW,2193,Primary,Government,Open,40990,7773
Ashby Primary School,GEELONG WEST,VIC,3218,Primary,Government,Open,44298,6199
Ashcroft High School,ASHCROFT,NSW,2168,Secondary,Government,Open,41585,6380
Ashcroft Public School,ASHCROFT,NSW,2168,Primary,Government,Open,41477,8524
Ashdale  Primary School,DARCH,WA,6065,Primary,Government,Open,48763,24015
Ashdale Secondary College,DARCH,WA,6065,Secondary,Government,Open,48258,27067
Ashfield Boys High School,ASHFIELD,NSW,2131,Secondary,Government,Open,41189,5966
Ashfield Primary School,ASHFIELD,WA,6054,Primary,Government,Open,48273,9026
Ashfield Public School,ASHFIELD,NSW,2131,Primary,Government,Open,40991,7774
Ashford Central School,ASHFORD,NSW,2361,Primary/Secondary,Government,Open,42412,9412
Ashgrove State School,ASHGROVE,QLD,4060,Primary,Government,Open,46544,11192
Ashmont Public School,WAGGA WAGGA,NSW,2650,Primary,Government,Open,42671,10475
Ashmore State School,ASHMORE,QLD,4214,Primary,Government,Open,47294,11588
Ashtonfield Public School,ASHTONFIELD,NSW,2323,Primary,Government,Open,42072,26003
Ashwell State School,ASHWELL,QLD,4340,Primary,Government,Open,46754,18122
Ashwood School,ASHWOOD,VIC,3147,Special,Government,Open,45015,8891
Ashwood Secondary College,ASHWOOD,VIC,3147,Secondary,Government,Open,45518,6191
Aspect Central Coast School,TERRIGAL,NSW,2260,Primary/Secondary,Non-Government,Open,43796,4079
Aspect Hunter School,SHORTLAND,NSW,2290,Primary/Secondary,Non-Government,Open,43768,3039
Aspect Macarthur School,COBBITTY,NSW,2570,Primary/Secondary,Non-Government,Open,50250,29102
Aspect South Coast School,CORRIMAL,NSW,2518,Primary/Secondary,Non-Government,Open,43813,6747
Aspect South East Sydney School ,PEAKHURST,NSW,2210,Primary/Secondary,Non-Government,Open,43927,15942
Aspect Vern Barnett School,FORESTVILLE,NSW,2087,Primary/Secondary,Non-Government,Open,43769,3048
Aspect Western Sydney School,WETHERILL PARK,NSW,2164,Primary/Secondary,Non-Government,Open,43823,4280
Aspendale Gardens Primary School,ASPENDALE GARDENS,VIC,3195,Primary,Government,Open,45153,17169
Aspendale Primary School,ASPENDALE,VIC,3195,Primary,Government,Open,44722,6017
Aspley East State School,ASPLEY,QLD,4034,Primary,Government,Open,46985,5148
Aspley Special School,ASPLEY,QLD,4034,Secondary,Government,Open,47597,17536
Aspley State High School,ASPLEY,QLD,4034,Secondary,Government,Open,47464,11164
Aspley State School,ASPLEY,QLD,4034,Primary,Government,Open,46813,11163
Asquith Boys High School,ASQUITH,NSW,2077,Secondary,Government,Open,41330,7672
Asquith Girls High School,ASQUITH,NSW,2077,Secondary,Government,Open,41326,7673
Asquith Public School,ASQUITH,NSW,2077,Primary,Government,Open,41196,5797
Assisi Catholic College,UPPER COOMERA,QLD,4209,Primary/Secondary,Non-Government,Open,47859,18057
Assumption Catholic Primary School,MANDURAH,WA,6210,Primary,Non-Government,Open,48977,2757
Assumption College,KILMORE,VIC,3764,Secondary,Non-Government,Open,45647,13936
Assumption College,WARWICK,QLD,4370,Secondary,Non-Government,Open,47894,17221
Athelstane Public School,ARNCLIFFE,NSW,2205,Primary,Government,Open,41059,8587
Athelstone School,ATHELSTONE,SA,5076,Primary,Government,Open,49311,5831
Atherton State High School,ATHERTON,QLD,4883,Secondary,Government,Open,47445,13171
Atherton State School,ATHERTON,QLD,4883,Primary,Government,Open,46895,5210
Athlone Primary School,ATHLONE,VIC,3818,Primary,Government,Open,40586,11864
Athol Road Primary School,SPRINGVALE SOUTH,VIC,3172,Primary,Government,Open,45281,28792
Attadale Primary School,ATTADALE,WA,6156,Primary,Government,Open,48274,12376
Attunga Public School,ATTUNGA,NSW,2345,Primary,Government,Open,42413,9369
Atwell College,ATWELL,WA,6164,Primary/Secondary,Government,Open,48260,27698
Atwell Primary School,ATWELL,WA,6164,Primary,Government,Open,48746,16018
Auburn Girls High School,AUBURN,NSW,2144,Secondary,Government,Open,41571,6471
Auburn North Public School,AUBURN,NSW,2144,Primary,Government,Open,41355,7799
Auburn Primary School,HAWTHORN EAST,VIC,3123,Primary,Government,Open,44532,5145
Auburn Primary School,AUBURN,SA,5451,Primary,Government,Open,49315,7396
Auburn Public School,AUBURN,NSW,2144,Primary,Government,Open,41551,7800
Auburn South Primary School,HAWTHORN EAST,VIC,3123,Primary,Government,Open,44721,8369
Auburn West Public School,AUBURN,NSW,2144,Primary,Government,Open,41356,7801
Augathella State School,AUGATHELLA,QLD,4477,Primary,Government,Open,46655,12248
Augusta Park Primary School,PORT AUGUSTA,SA,5700,Primary,Government,Open,49555,7502
Augusta Primary School,AUGUSTA,WA,6290,Primary,Government,Open,48275,12512
Aurora School,BLACKBURN SOUTH,VIC,3130,Special,Government,Open,40737,23416
Austin Cove Baptist College,SOUTH YUNDERUP,WA,6208,Primary/Secondary,Non-Government,Open,50318,29057
Austinmer Public School,AUSTINMER,NSW,2515,Primary,Government,Open,42718,9986
Austral Public School,AUSTRAL,NSW,2179,Primary,Government,Open,41357,8545
Australia Street Infants School,NEWTOWN,NSW,2042,Primary,Government,Open,40492,7590
Australian Christian College - Darling Downs,BROOKDALE,WA,6112,Primary,Non-Government,Open,49060,4058
Australian Christian College - Hume,BENALLA,VIC,3672,Primary,Non-Government,Open,46281,29980
